Organization,Country
CONCACAF,Canada
CONCACAF,Mexico
CONCACAF,USA
CONCACAF,Belize
CONCACAF,Costa Rica
CONCACAF,El Salvador
CONCACAF,Guatemala
CONCACAF,Honduras
CONCACAF,Nicaragua
CONCACAF,Panama
CONCACAF,Anguilla
CONCACAF,Antigua and Barbuda
CONCACAF,Aruba
CONCACAF,Bahamas
CONCACAF,Barbados
CONCACAF,Bermuda
CONCACAF,Bonaire
CONCACAF,British Virgin Islands
CONCACAF,Cayman Islands
CONCACAF,Cuba
CONCACAF,Curacao
CONCACAF,Dominica
CONCACAF,Dominican Republic
CONCACAF,French Guiana
CONCACAF,Grenada
CONCACAF,Guadeloupe
CONCACAF,Guyana
CONCACAF,Haiti
CONCACAF,Jamaica
CONCACAF,Martinique
CONCACAF,Montserrat
CONCACAF,Puerto Rico
CONCACAF,Saint Kitts and Nevis
CONCACAF,Saint Lucia
CONCACAF,Saint Martin
CONCACAF,Saint Vincent and the Grenadines
CONCACAF,Sint Maarten
CONCACAF,Suriname
CONCACAF,Trinidad and Tobago
CONCACAF,Turks and Caicos Islands
CONCACAF,U.S. Virgin Islands
CONMEBOL,Argentina
CONMEBOL,Bolivia
CONMEBOL,Brazil
CONMEBOL,Chile
CONMEBOL,Colombia
CONMEBOL,Ecuador
CONMEBOL,Paraguay
CONMEBOL,Peru
CONMEBOL,Uruguay
CONMEBOL,Venezuela
OFC,American Samoa
OFC,Cook Islands
OFC,Fiji
OFC,New Caledonia
OFC,New Zealand
OFC,Papua New Guinea
OFC,Samoa
OFC,Solomon Islands
OFC,Tahiti
OFC,Tonga
OFC,Vanuatu
AFC,Bahrain
AFC,Iraq
AFC,Jordan
AFC,Kuwait
AFC,Lebanon
AFC,Oman
AFC,Palestine
AFC,Qatar
AFC,Saudi Arabia
AFC,Syria
AFC,United Arab Emirates
AFC,Yemen
AFC,Afghanistan
AFC,Iran
AFC,Kyrgyzstan
AFC,Tajikistan
AFC,Turkmenistan
AFC,Uzbekistan
AFC,Bangladesh
AFC,Bhutan
AFC,India
AFC,Maldives
AFC,Nepal
AFC,Pakistan
AFC,Sri Lanka
AFC,Australia
AFC,Brunei
AFC,Cambodia
AFC,Indonesia
AFC,Laos
AFC,Malaysia
AFC,Myanmar
AFC,Philippines
AFC,Singapore
AFC,Thailand
AFC,Timor-Leste
AFC,Vietnam
AFC,China PR
AFC,Chinese Taipei
AFC,Guam
AFC,Hong Kong
AFC,Japan
AFC,North Korea
AFC,Korea Republic
AFC,Macau
AFC,Mongolia
AFC,Northern Mariana Islands
UEFA,Albania
UEFA,Andorra
UEFA,Armenia
UEFA,Austria
UEFA,Azerbaijan
UEFA,Belarus
UEFA,Belgium
UEFA,Bosnia Herzegovina
UEFA,Bulgaria
UEFA,Croatia
UEFA,Cyprus
UEFA,Czech Republic
UEFA,Denmark
UEFA,England
UEFA,Estonia
UEFA,Faroe Islands
UEFA,Finland
UEFA,France
UEFA,Georgia
UEFA,Germany
UEFA,Gibraltar
UEFA,Greece
UEFA,Hungary
UEFA,Iceland
UEFA,Israel
UEFA,Italy
UEFA,Kazakhstan
UEFA,Kosovo
UEFA,Latvia
UEFA,Liechtenstein
UEFA,Lithuania
UEFA,Luxembourg
UEFA,Malta
UEFA,Moldova
UEFA,Montenegro
UEFA,Netherlands
UEFA,FYR Macedonia
UEFA,Northern Ireland
UEFA,Norway
UEFA,Poland
UEFA,Portugal
UEFA,Republic of Ireland
UEFA,Romania
UEFA,Russia
UEFA,San Marino
UEFA,Scotland
UEFA,Servia
UEFA,Slovakia
UEFA,Slovenia
UEFA,Spain
UEFA,Sweden
UEFA,Switzerland
UEFA,Turkey
UEFA,Ukraine
UEFA,Wales
CAF,Algeria
CAF,Egypt
CAF,Libya
CAF,Morocco
CAF,Tunisia
CAF,Benin
CAF,Burkina Faso
CAF,Cape Verde
CAF,Gambia
CAF,Ghana
CAF,Guinea
CAF,Guinea Bissau
CAF,Cote d'Ivoire
CAF,Liberia
CAF,Mali
CAF,Mauritania
CAF,Niger
CAF,Nigeria
CAF,Senegal
CAF,Sierra Leone
CAF,Togo
CAF,Cameroon
CAF,Central African Republic
CAF,Chad
CAF,Congo
CAF,DR Congo
CAF,Equatorial Guinea
CAF,Gabon
CAF,Sao Tome and Principe
CAF,Burundi
CAF,Djibouti
CAF,Eritrea
CAF,Ethiopia
CAF,Kenya
CAF,Rwanda
CAF,Somalia
CAF,South Sudan
CAF,Sudan
CAF,Tanzania
CAF,Uganda
CAF,Zanzibar
CAF,Angola
CAF,Botswana
CAF,Comoros
CAF,Eswatini
CAF,Lesotho
CAF,Madagascar
CAF,Malawi
CAF,Mauritius
CAF,Mozambique
CAF,Namibia
CAF,Seychelles
CAF,South Africa
CAF,Zambia
CAF,Zimbabwe
