sofifa_id,short_name,nationality,overall,player_positions,work_rate,team_position
158023,L. Messi,Argentina,94,"RW, CF, ST",Medium/Low,RW
20801,Cristiano Ronaldo,Portugal,93,"ST, LW",High/Low,LW
190871,Neymar Jr,Brazil,92,"LW, CAM",High/Medium,CAM
200389,J. Oblak,Slovenia,91,GK,Medium/Medium,GK
183277,E. Hazard,Belgium,91,"LW, CF",High/Medium,LW
192985,K. De Bruyne,Belgium,91,"CAM, CM",High/High,RCM
192448,M. ter Stegen,Germany,90,GK,Medium/Medium,GK
203376,V. van Dijk,Netherlands,90,CB,Medium/Medium,LCB
177003,L. Modrić,Croatia,90,CM,High/High,RCM
209331,M. Salah,Egypt,90,"RW, ST",High/Medium,RW
231747,K. Mbappé,France,89,"ST, RW",High/Low,RW
201024,K. Koulibaly,Senegal,89,CB,Medium/High,LCB
202126,H. Kane,England,89,ST,High/High,ST
212831,Alisson,Brazil,89,GK,Medium/Medium,GK
193080,De Gea,Spain,89,GK,Medium/Medium,GK
215914,N. Kanté,France,89,"CDM, CM",Medium/High,RCM
138956,G. Chiellini,Italy,89,CB,Medium/High,LCB
153079,S. Agüero,Argentina,89,ST,High/Medium,ST
155862,Sergio Ramos,Spain,89,CB,High/Medium,LCB
176580,L. Suárez,Uruguay,89,ST,High/Medium,ST
188545,R. Lewandowski,Poland,89,ST,High/Medium,ST
189511,Sergio Busquets,Spain,89,"CDM, CM",Medium/Medium,CDM
194765,A. Griezmann,France,89,"CF, ST, LW",High/High,LW
211110,P. Dybala,Argentina,88,"CAM, RW",Medium/Medium,RW
195864,P. Pogba,France,88,"CM, CDM",High/Medium,LDM
210257,Ederson,Brazil,88,GK,Medium/Medium,GK
202652,R. Sterling,England,88,"RW, LW",High/Medium,LW
190460,C. Eriksen,Denmark,88,"CAM, CM",High/High,RM
192119,T. Courtois,Belgium,88,GK,Medium/Medium,GK
152729,Piqué,Spain,88,CB,High/Medium,RCB
162835,S. Handanovič,Slovenia,88,GK,Medium/Medium,GK
167495,M. Neuer,Germany,88,GK,Medium/Medium,GK
